,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100
北川ゆい,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,1,0,0,0,1,0,0,0,0
Akira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COCOLO,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,1,2,1,1,0,2,0,0,1,0,0,0,1,0,0,0,3,1,4,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,5,1,0,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,3,0,3,0,0,0,1,0,1,1,2,2,2,0,0
Saiko,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,3,0,0,1,2,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,5
あいだもも,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0,6,0,0,0,2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0
あさのくるみ,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0
あづき美由,0,1,0,2,0,3,1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,1,0,0
あまいれもん,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
イヴ,1,0,0,1,0,0,0,0,0,7,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,2,2,0,0,0,1,0,1,0,0,0,1,0,0,3,1,2,1,1,0,0,0,0,0,0,1,5,0,0,2,1,0,0,0,1,0,2,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1
いしかわ愛里,0,1,0,2,0,0,0,1,0,2,1,0,1,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,4,0,1,0,0,0,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0
